Sororities,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Chi Phi,,,,,3.2822,3.0692,3.1476,3.2123,3.299,3.3564,3.213,2.8675,3.0657,3.1728,2.8394,3.2837,3.1236,3.0101,3.2467
Delta Chi,3.13,3.04,3.19,3.3585,3.3288,2.8769,3.1747,3.134,3.1732,3.0891,3.2137,3.0116,3.04,3.2374,3.2844,3.0746,3.167,3.2532,3.2125
Delta Phi,3.12,3.01,3.23,3.1533,2.9774,3.2344,3.1475,3.1701,3.2081,3.2369,3.2328,3.2385,3.3232,3.2564,3.2782,3.2193,3.266,3.1073,3.2187
Kappa Alpha,3.2,2.96,3.07,2.9908,3.1854,2.9929,3.1555,3.1357,3.1442,3.1732,3.2579,3.0582,3.2015,3.0775,3.1867,3.0225,3.1986,3.0133,3.0528
Kappa Alpha Psi,,,,,,,,,,,,,,3.2123,3.0123,2.5456,2.6287,2.0917,2.4935
Kappa Delta Rho,3.04,2.92,3.18,2.974,3.0247,3.044,3.1153,3.0152,3.0517,3.0182,3.0518,3.0675,3.1607,3.0696,3.1893,3.1527,3.3268,3.255,3.262
Kappa Sigma,2.99,2.99,3.18,3.0398,3.0512,3.0819,3.1998,3.024,3.2475,3.101,3.2282,3.1827,3.23,3.3246,3.3433,3.2144,3.2043,3.2097,3.2242
Lambda Chi Alpha,2.93,2.96,2.94,2.8181,3.1297,3.0693,3.1091,3.0855,3.0825,2.9471,3.0357,2.9889,3.0902,3.0551,3.0957,3.0071,,,
Omega Psi Phi,,,,,,,,,,,,1.3436,2.0739,2.3214,,,,,2.8
Phi Beta Sigma,,,,,,,2.5236,2.2779,2.9771,2.3735,2.8465,3.02,2.5418,3.3067,,,,,
Phi Kappa Tau,3.08,3.06,3.11,3.134,3.2678,3.1215,3.364,3.1401,3.2024,3.0369,3.2949,3.1659,3.2149,3.1746,,,,,
Pi Kappa Alpha,2.89,2.96,3.01,2.8092,3.0555,2.7367,2.8178,2.6914,2.8186,2.7219,2.9665,2.9384,3.0158,3.0455,3.0501,2.8924,3.0938,3.0815,3.1986
Psi Upsilon,3.18,3.02,,,,,,,,,,,,,,,,,
Sigma Alpha Epsilon,,,,,,,,2.5931,2.4167,2.7165,3.0619,3.0608,3.0604,3.1256,3.2621,3.3368,3.1584,3.1238,3.0137
Sigma Chi,3.02,2.83,2.96,2.9769,2.8919,2.898,3.0148,3.1831,3.1191,3.0714,3.1732,3.1605,3.1613,3.2367,3.2512,3.1932,3.2263,3.1309,3.4216
Sigma Phi Epsilon,,,,,,,,,,,,3.3325,3.4612,3.3253,3.3739,3.3234,3.2897,3.2603,3.2116
Sigma Pi,2.93,2.86,3.03,2.9437,3.0772,2.9188,3.0068,2.8857,2.9079,2.9712,3.3034,2.9839,3.0719,3.1249,3.2023,3.296,3.3829,3.219,3.3378
Theta Delta Chi,3.16,3.18,3.29,3.1887,3.1253,2.9653,3.1084,3.0912,3.0353,3.1784,3.1972,2.8767,3.0097,3.1136,3.0667,,,,
All Greek GPA,3.33,3.27,3.34,3.29,3.35,3.2835,3.34,3.26,3.33,3.26,3.29,3.27,3.33,3.29,3.33,3.28,3.36,3.32,3.37
Average Male GPA,3.13,3.09,3.14,3.09,3.15,3.0983,3.17,3.11,3.17,3.1,3.16,3.11,3.17,3.17,3.2,3.13,3.19,3.18,3.21
All Undergrad GPA,3.24,3.19,3.25,3.19,3.26,3.1985,3.26,3.19,3.26,3.19,3.23,3.2,3.26,3.23,3.28,3.21,3.28,3.25,3.3
Average Sorority GPA,3.31,3.25,3.36,3.2641,3.2545,3.2616,3.319713,3.24537,3.341488,3.2575,3.3109,3.2537,3.3233,3.28,3.3636,3.2635,3.3917,3.3041,3.39
Average Fraternity GPA,3.06,3.02,3.11,3.0495,3.1077,3.0271,3.128612,3.08622,3.1503,3.0919,3.1914,3.0918,3.1705,3.18,3.2339,3.17,3.2354,3.1725,3.24
All Greek GPA,3.21,3.16,3.24,3.15,3.1916,3.1667,3.2341,3.1757,3.2515,3.1909,3.2593,3.1845,3.196,3.24,3.3038,3.2233,3.3241,3.25,3.32
